Full Name                bats  throws  weight  height
Brandon Dickson          R     R       190     77    
Ernie Diehl              R     R       190     73    
George Diehl             R     R       196     74    
Jake Diekman             R     L       195     76    
Larry Dierker            R     R       215     76    
Derek Dietrich           L     R       205     74    
Dick Dietz               R     R       195     73    
Mike Difelice            R     R       205     74    
Ben Diggins              R     R       230     79    
Martin Dihigo            R     R       195     74    
Don Dillard              L     R       200     73    
Gordon Dillard           L     L       190     73    
Tim Dillard              R     R       215     77    
Joe Dillon               R     R       210     74    
Craig Dingman            R     R       215     76    
Bill Dinneen             L     R       190     73    
Ron Diorio               R     R       212     78    
Jerry Dipoto             R     R       203     74    
Glenn Dishman            R     L       195     73    
Alec Distaso             R     R       200     74    
Benny Distefano          L     L       195     73    
Brandon Dixon            R     R       215     74    
Sonny Dixon              B     R       205     74    
Brent Dlugach            R     R       200     76    
Greg Dobbs               L     R       205     73    
Randy Dobnak             R     R       230     73    
Chuck Dobson             R     R       200     76    
Joe Dobson               R     R       197     74    
Pat Dobson               R     R       190     75    
Dylan Dodd               L     L       210     74    
Robert Dodd              L     L       195     75    
Pat Dodson               L     L       210     76    
John Doherty             R     R       190     76    
Scott Dohmann            R     R       200     73    
Kyle Dohy                L     L       202     74    
Rafael Dolis             R     R       235     76    
Art Doll                 R     R       190     73    
Chris Dominguez          R     R       235     76    
Matt Dominguez           R     R       220     74    
Seranthony Dominguez     R     R       225     73    
Jason Donald             R     R       195     73    
Josh Donaldson           R     R       210     73    
Brendan Donnelly         R     R       205     75    
Ed Donnelly              R     R       205     73    
Jim Donohue              R     R       190     76    
Bill Donovan             R     L       198     74    
Brendan Donovan          L     R       195     73    
Dick Donovan             L     R       190     75    
Sean Doolittle           L     L       218     74    
John Dopson              L     R       205     76    
Danny Dorn               L     L       200     74    
Brian Dorsett            R     R       215     75    
Jim Dorsey               R     R       190     74    
Jack Doscher             L     L       205     73    
Richard Dotson           R     R       190     73    
Felix Doubront           L     L       240     74    
Patsy Dougherty          L     R       190     74    
John Douglas             L     L       195     74    
Phil Douglas             R     R       190     75    
Astyanax Douglass        L     R       190     73    
Sean Douglass            R     R       200     78    
Ryan Doumit              B     R       220     73    
Dennis Dove              R     R       205     76    
Kyle Dowdy               R     R       210     73    
Darin Downs              R     L       200     75    
Dave Downs               R     R       220     77    
Kelly Downs              R     R       195     76    
Matt Downs               R     R       190     73    
Scott Downs              L     L       215     74    
Brenton Doyle            R     R       200     74    
Danny Doyle              B     R       195     73    
Tommy Doyle              R     R       244     78    
Cory Doyne               R     R       240     74    
Hunter Dozier            R     R       220     76    
Tom Dozier               R     R       190     74    
Kyle Drabek              R     R       205     74    
Moe Drabowsky            R     R       190     75    
Dick Drago               R     R       190     73    
Brian Drahman            R     R       205     75    
Larry Drake              L     R       195     73    
Oliver Drake             R     R       220     76    
Kelly Dransfeldt         R     R       195     74    
Dave Dravecky            R     L       195     73    
Tom Drees                B     L       210     78    
Darren Dreifort          R     R       205     74    
Clem Dreisewerd          L     L       195     73    
Bill Drescher            L     R       190     74    
Ryan Drese               R     R       245     75    
Cameron Drew             L     R       230     77    
J. D. Drew               L     R       200     73    
Tim Drew                 R     R       195     73    
Karl Drews               R     R       192     76    
Walt Dropo               R     R       220     77    
Brandon Drury            R     R       230     74    
Don Drysdale             R     R       190     77    
Eric DuBose              L     L       230     75    
Jason Dubois             R     R       220     77    
Brandon Duckworth        R     R       215     74    
Jim Duckworth            R     R       194     76    
Lucas Duda               L     R       255     76    
Clise Dudley             L     R       195     73    
Matt Duff                R     R       192     73    
Tyler Duffey             R     R       220     75    
John Duffie              R     R       210     79    
Danny Duffy              L     L       205     75    
Matt Duffy               R     R       190     74    
Matt Duffy               R     R       215     75    
Zach Duke                L     L       210     74    
Elijah Dukes             R     R       225     74    
Phil Dumatrait           R     L       210     74    
Joe Dunand               R     R       205     73    
Tom Dunbar               L     L       192     74    
Chris Duncan             L     R       210     77    
Dave Duncan              R     R       190     74    
Shelley Duncan           R     R       215     77    
Jim Dunegan              R     R       205     73    
Davy Dunkle              B     R       220     74    
Adam Dunn                L     R       285     78    
Justin Dunn              R     R       209     74    
Steve Dunn               L     L       225     76    
Todd Dunn                R     R       220     77    
Mike Dunne               R     R       190     76    
Dane Dunning             R     R       225     76    
Jake Dunning             R     R       190     76    
Steve Dunning            R     R       205     74    
Todd Dunwoody            L     L       190     73    
Frank Dupee                    R       200     73    
Jon Duplantier           L     R       229     76    
Jarren Duran             L     R       212     74    
Jhoan Duran              R     R       230     77    
Mike Durant              R     R       200     74    
Erubiel Durazo           L     L       240     75    
Chad Durbin              R     R       225     74    
Ryne Duren               R     R       190     74    
Jayson Durocher          R     R       195     75    
Nick Duron               R     R       190     76    
Adam Duvall              R     R       215     73    
Chris Dwyer              R     L       210     75    
Jim Dyck                 R     R       200     74    
Jermaine Dye             R     R       210     76    
Mike Dyer                R     R       195     75    
Allan Dykstra            L     R       215     77    
Sam Dyson                R     R       212     73    
Ryan Eades               R     R       210     74    
Arnold Earley            L     L       195     73    
Bill Earley              R     L       200     76    
George Earnshaw          R     R       210     76    
Luke Easter              L     R       240     76    
Adam Eaton               R     R       190     74    
Gary Eave                R     R       200     76    
Derrin Ebert             R     L       200     75    
Angel Echevarria         R     R       215     76    
Eric Eckenstahler        L     L       210     79    
Dennis Eckersley         R     R       190     74    
Chris Eddy               L     L       200     75    
Butch Edge               R     R       203     75    
Josh Edgin               R     L       245     73    
Steve Edlefsen           R     R       195     74    
Jim Edmonds              L     L       190     73    
Paul Edmondson           R     R       195     77    
Doc Edwards              R     R       215     74    
Johnny Edwards           L     R       220     76    
Jon Edwards              R     R       240     77    
Harry Eells              R     R       195     73    
Scott Effross            R     R       202     74    
Zach Eflin               R     R       220     78    
Dick Egan                L     L       193     76    
Tom Egan                 R     R       218     76    
Jack Egbert              L     R       220     75    
Cody Ege                 L     L       190     73    
Bruce Egloff             R     R       215     74    
Howard Ehmke             R     R       190     75    
Rube Ehrhardt            R     R       190     74    
Brett Eibner             R     R       215     76    
Juan Eichelberger        R     R       195     74    
Mark Eichhorn            R     R       200     76    
Jerad Eickhoff           R     R       246     76    
Dave Eiland              R     R       210     75    
Darrell Einertson        R     R       190     74    
Joey Eischen             L     L       190     73    
Jake Eisenhart           L     L       195     75    
Ed Eiteljorge            R     R       190     74    
Scott Elarton            R     R       240     79    
Scott Elbert             L     L       225     74    
Bryce Elder              R     R       220     74    
Henry Elder              L     L       200     74    
Brad Eldred              R     R       270     78    
Cal Eldred               R     R       215     76    
Roenis Elias             L     L       205     73    
Seth Elledge             R     R       240     75    
Brian Ellington          R     R       215     75    
Larry Elliot             L     L       200     74    
Donnie Elliott           R     R       190     76    
Jumbo Elliott            R     L       235     75    
Randy Elliott            R     R       190     74    
A. J. Ellis              R     R       225     74    
Chris Ellis              L     R       205     77    
Dock Ellis               B     R       205     75    
Drew Ellis               R     R       205     75    
John Ellis               R     R       225     74    
Robert Ellis             R     R       220     77    
Jacoby Ellsbury          L     L       195     73    
Steve Ellsworth          R     R       220     80    
John Ely                 R     R       210     74    
Kent Emanuel             L     L       225     76    
Cal Emery                L     L       205     74    
Edwin Encarnacion        R     R       230     73    
Jerar Encarnacion        R     R       250     76    
Mario Encarnacion        R     R       210     74    
Trevor Enders            R     L       205     73    
Adam Engel               R     R       215     74    
Steve Engel              R     L       216     75    
Dave Engle               R     R       210     75    
Mason Englert            B     R       206     76    
Jesse English            L     L       220     75    
John Ennis               R     R       220     77    
Dietrich Enns            L     L       210     73    
Barry Enright            R     R       220     75    
Morgan Ensberg           R     R       210     74    
Terry Enyart             R     L       190     74    
Nathan Eovaldi           R     R       217     74    
Al Epperly               L     R       194     74    
Cody Eppley              R     R       205     77    
Mike Epstein             L     L       230     75    
Greg Erardi              R     R       190     73    
Lucas Erceg              L     R       214     74    
Todd Erdos               R     R       205     73    
John Ericks              R     R       220     79    
Eric Erickson            R     R       190     74    
Hal Erickson             R     R       230     77    
Paul Erickson            R     R       200     74    
Scott Erickson           R     R       220     76    
Frank Ernaga             R     R       195     73    
Darin Erstad             L     L       195     74    
Nick Esasky              R     R       200     75    
Edgmer Escalona          R     R       235     76    
Jake Esch                R     R       205     75    
Alcides Escobar          R     R       205     73    
Edwin Escobar            L     L       225     74    
Kelvim Escobar           R     R       205     73    
Luis Escobar             R     R       205     73    
Yunel Escobar            R     R       215     74    
Thomas Eshelman          R     R       225     74    
Vaughn Eshelman          L     L       205     75    
Raynel Espinal           R     R       215     75    
Geno Espineli            L     L       195     76    
Juan Espino              R     R       190     73    
Nino Espinosa            R     R       192     73    
Brian Esposito           R     R       210     73    
Cecil Espy               B     R       195     75    
Mark Esser               R     L       190     73    
Jim Essian               R     R       195     74    
Bobby Estalella          R     R       200     73    
Carlos Estevez           R     R       277     78    
Andy Etchebarren         R     R       190     73    
Buck Etchison            L     L       190     73    
Seth Etherton            R     R       195     73    
Andre Ethier             L     L       210     74    
Nick Etten               L     L       198     74    
John Eubank              R     R       215     74    
Bart Evans               R     R       210     74    
Darrell Evans            L     R       200     74    
Demarcus Evans           R     R       265     77    
Nick Evans               R     R       220     74    
Terry Evans              R     R       210     76    
Tom Evans                R     R       200     73    
Dana Eveland             L     L       235     73    
Leon Everitt             L     R       195     73    
Bryan Eversgerd          R     L       190     73    
Sam Ewing                L     L       200     75    
Luis Exposito            R     R       210     75    
Jay Faatz                R     R       196     76    
Jorge Fabregas           L     R       205     75    
Alex Faedo               R     R       225     77    
Frank Fahey              B     R       190     73    
Pete Fairbanks           R     R       225     78    
Anton Falch                            220     78    
Brian Falkenborg         R     R       235     79    
Bob Fallon               L     L       200     75    
Steve Falteisek          R     R       200     74    
Jeurys Familia           R     R       240     75    
Jake Faria               R     R       230     76    
Bob Farley               L     L       200     74    
Buck Farmer              L     R       243     76    
Ed Farmer                R     R       200     77    
Mike Farmer              B     L       193     73    
Jeff Farnsworth          R     R       190     74    
Kyle Farnsworth          R     R       230     76    
Jim Farr                 R     R       195     73    
Duke Farrell             B     R       208     73    
John Farrell             R     R       210     76    
Luke Farrell             L     R       200     78    
Turk Farrell             R     R       215     76    
Sal Fasano               R     R       220     74    
Darcy Fast               L     L       195     75    
Jack Faszholz            R     R       205     75    
Calvin Faucher           R     R       190     73    
Andrew Faulkner          R     L       205     75    
Jim Faulkner             B     L       190     75    
Erick Fedde              R     R       203     76    
Ryan Feierabend          L     L       225     75    
Scott Feldman            L     R       225     78    
Michael Feliz            R     R       250     76    
Neftali Feliz            R     R       235     75    
Pedro Feliz              R     R       210     73    
John Felske              R     R       195     75    
Ryan Feltner             R     R       190     76    
Caleb Ferguson           R     L       226     75    
Joe Ferguson             R     R       200     74    
Alex Fernandez           R     R       200     74    
Jared Fernandez          R     R       223     74    
Jose Fernandez           R     R       220     75    
Jose Fernandez           R     R       240     75    
Julian Fernandez         R     R       230     78    
Junior Fernandez         R     R       215     75    
Osvaldo Fernandez        R     R       190     74    
Sid Fernandez            L     L       220     73    
Al Ferrara               R     R       200     73    
Bill Ferrazzi            R     R       200     74    
Jeff Ferrell             R     R       205     76    
Wes Ferrell              R     R       195     74    
Tom Ferrick              R     R       220     74    
Bob Ferris               R     R       225     78    
Dave Ferriss             L     R       208     74    
Matt Festa               R     R       195     73    
Lou Fette                R     R       200     73    
Mike Fetters             R     R       200     76    
J. P. Feyereisen         R     R       215     74    
C. J. Fick               R     R       200     77    
Robert Fick              L     R       189     73    
Cecil Fielder            R     R       230     75    
Daniel Fields            L     R       225     74    
Josh Fields              R     R       225     74    
Casey Fien               R     R       210     74    
Mike Fiers               R     R       211     74    
Stephen Fife             R     R       225     75    
Ed Figueroa              R     R       190     73    
Bob File                 R     R       215     76    
Tom Filer                R     R       195     73    
Heath Fillmyer           R     R       195     73    
Pete Filson              B     L       195     74    
Rollie Fingers           R     R       190     76    
Herman Fink              R     R       198     74    
Bob Finley               R     R       200     73    
Chuck Finley             L     L       220     78    
Kyle Finnegan            R     R       200     74    
Gar Finnvold             R     R       195     77    
Tony Fiore               R     R       210     76    
Steve Fireovid           B     R       195     74    
Rube Fischer             R     R       190     76    
Brian Fisher             R     R       210     76    
Carlos Fisher            R     R       220     76    
Derek Fisher             L     R       215     75    
Ed Fisher                R     R       200     74    
Eddie Fisher             R     R       200     74    
Jack Fisher              R     R       215     74    
Maurice Fisher           R     R       210     77    
Nate Fisher              L     L       209     73    
Jake Fishman             L     L       195     75    
Carlton Fisk             R     R       200     75    
Doug Fister              L     R       210     80    
John Fitzgerald          L     L       190     75    
Mike Fitzgerald          R     R       196     73    
Al Fitzmorris            B     R       190     74    
Tom Fitzsimmons          R     R       190     73    
Jay Flaa                 R     R       225     75    
Jack Flaherty            R     R       225     76    
John Flaherty            R     R       195     73    
Ryan Flaherty            L     R       205     75    
Al Flair                 L     L       195     76    
Ed Flanagan                    R       190     73    
John Flavin              L     L       208     74    
Dave Fleming             L     L       200     75    
Josh Fleming             L     L       220     74    
Darrin Fletcher          L     R       195     74    
Paul Fletcher            R     R       190     73    
Sam Fletcher                   R       210     74    
Chris Flexen             R     R       219     75    
Bernardo Flores          L     L       190     76    
Jesus Flores             R     R       210     73    
Kendry Flores            R     R       195     74    
Wilmer Flores            R     R       213     74    
Estevan Florial          L     R       195     73    
Dylan Floro              L     R       203     74    
Ben Flowers              R     R       195     76    
Tyler Flowers            R     R       260     76    
Wes Flowers              L     L       190     73    
Cliff Floyd              L     R       220     77    
Gavin Floyd              R     R       245     76    
Brian Flynn              L     L       245     80    
Josh Fogg                R     R       205     74    
Jason Foley              R     R       215     76    
Mike Foltynewicz         R     R       195     76    
Dee Fondy                L     L       195     75    
Wilmer Font              R     R       255     76    
Barry Foote              R     R       205     75    
Jesse Foppert            R     R       210     78    
Ben Ford                 R     R       200     79    
Dave Ford                R     R       190     76    
Gene Ford                R     R       195     74    
William Ford             R     R       200     74    
Tom Fordham              L     L       210     74    
Eric Fornataro           R     R       230     74    
Bob Forsch               R     R       200     76    
Ken Forsch               R     R       195     76    
Scott Forster            R     L       194     73    
Terry Forster            L     L       200     75    
Logan Forsythe           R     R       195     73    
Tim Fortugno             L     L       195     73    
Bartolome Fortunato      R     R       210     73    
Jerry Fosnow             R     L       195     76    
Ray Fosse                R     R       215     74    
Kris Foster              R     R       200     73    
Dexter Fowler            B     R       205     77    
Dick Fowler              R     R       215     76    
Alan Fowlkes             R     R       190     74    
Andy Fox                 L     R       205     76    
Howie Fox                R     R       210     75    
Matt Fox                 R     R       190     75    
Bowden Francis           R     R       220     77    
Earl Francis             R     R       210     74    
Jeff Francis             L     L       220     77    
Ben Francisco            R     R       195     73    
Frank Francisco          R     R       250     74    
Juan Francisco           L     R       245     74    
Enderson Franco          R     R       241     73    
Maikel Franco            R     R       225     73    
Matt Franco              L     R       200     74    
Jeff Francoeur           R     R       225     76    
Terry Francona           L     L       190     73    
Nick Franklin            B     R       190     73    
Ryan Franklin            R     R       190     75    
Wayne Franklin           L     L       195     74    
Seth Frankoff            R     R       206     77    
John Frascatore          R     R       200     73    
Willie Fraser            R     R       200     73    
George Frazier           R     R       205     77    
Jeff Frazier             R     R       195     75    
Todd Frazier             R     R       215     75    
Kevin Frederick          L     R       215     73    
Scott Fredrickson        R     R       220     75    
Bill Freehan             R     R       203     75    
Kyle Freeland            L     L       204     76    
Choo Freeman             R     R       200     74    
Freddie Freeman          L     R       220     77    
Hersh Freeman            R     R       220     75    
Jerry Freeman            L     R       220     74    
Mark Freeman             R     R       220     76    
Marvin Freeman           R     R       200     79    
David Freese             R     R       213     74    
Jim Fregosi              R     R       190     73    
Nate Freiman             R     R       245     80    
Alejandro Freire         R     R       225     74    
David Freitas            R     R       250     73    
Larry French             R     L       195     73    
Luke French              L     L       220     76    
Carlos Frias             R     R       195     76    
Luis Frias               R     R       245     75    
Jim Fridley              R     R       205     74    
Max Fried                L     L       190     76    
Christian Friedrich      R     L       222     76    
Buck Frierson            R     R       195     75    
Emil Frisk               L     R       190     73    
Larry Fritz              L     L       225     74    
Doug Frobel              L     R       196     76    
Todd Frohwirth           R     R       190     76    
Dave Frost               R     R       235     78    
Emiliano Fruto           R     R       230     75    
Jace Fry                 L     L       209     73    
Eric Fryer               R     R       215     74    
Woodie Fryman            R     L       197     75    
Brian Fuentes            L     L       230     76    
Mike Fuentes             R     R       190     75    
Jeff Fulchino            R     R       270     76    
John Fulgham             R     R       205     74    
Jim Fuller               R     R       215     75    
Michael Fulmer           R     R       224     75    
Bill Fulton              R     R       195     75    
Mark Funderburk          R     R       226     76    
Tom Funk                 L     L       210     74    
Kyle Funkhouser          R     R       229     75    
Charlie Furbush          L     L       215     77    
Les Fusselman            R     R       195     73    
Mike Fyhrie              R     R       190     74    
Kason Gabbard            L     L       200     75    
Armando Gabino           R     R       210     75    
Gabe Gabler              L     R       190     73    
Len Gabrielson           L     L       210     75    
Len Gabrielson           L     R       210     76    
Hunter Gaddis            R     R       260     78    
Brent Gaff               R     R       200     74    
Matt Gage                L     L       265     75    
Eric Gagne               R     R       195     74    
Drew Gagnon              R     R       215     76    
Joe Gaines               R     R       190     73    
Ty Gainey                L     R       190     73    
Steve Gajkowski          R     R       200     74    
Dan Gakeler              R     R       215     78    
Andres Galarraga         R     R       235     75    
Armando Galarraga        R     R       230     75    
Bob Galasso              L     R       205     73    
Rich Gale                R     R       225     79    
Denny Galehouse          R     R       195     73    
Cam Gallagher            R     R       230     75    
Doug Gallagher           R     L       195     75    
Ed Gallagher             B     L       197     74    
Joe Gallagher            R     R       210     74    
Sean Gallagher           R     R       220     74    
Yovani Gallardo          R     R       205     74    
Giovanny Gallegos        R     R       215     74    
Zac Gallen               R     R       189     74    
Joey Gallo               L     R       250     77    
Isaac Galloway           R     R       205     74    
Eddie Gamboa             R     R       215     73    
Mat Gamel                L     R       220     73    
Chick Gandil             R     R       190     73    
John Gant                R     R       200     76    
Victor Garate            L     L       210     73    
Bob Garber               R     R       190     73    
Adolis Garcia            R     R       205     73    
Aramis Garcia            R     R       228     73    
Avisail Garcia           R     R       250     76    
Bryan Garcia             R     R       205     73    
Christian Garcia         R     R       230     77    
Dermis Garcia            R     R       200     73    
Edgar Garcia             R     R       205     73    
Freddy Garcia            R     R       190     74    
Freddy Garcia            R     R       250     76    
Guillermo Garcia         R     R       215     75    
Jaime Garcia             L     L       215     74    
Jarlin Garcia            L     L       210     75    
Luis Garcia              R     R       215     75    
Luis Garcia              R     R       240     74    
Luis Garcia              L     R       220     74    
Mike Garcia              R     R       195     73    
Mike Garcia              R     R       220     74    
Onelki Garcia            L     L       225     75    
Ramon Garcia             R     R       200     74    
Rony Garcia              R     R       200     75    
Rosman Garcia            R     R       215     74    
Willy Garcia             R     R       215     74    
Yimi Garcia              R     R       230     73    
Mark Gardner             R     R       190     73    
Wes Gardner              R     R       197     76    
Bob Garibaldi            L     R       210     76    
Ryan Garko               R     R       225     74    
Jon Garland              R     R       210     78    
Lou Garland              R     R       200     74    
Kyle Garlick             R     R       210     73    
Mike Garman              R     R       195     75    
Dustin Garneau           R     R       205     74    
Cole Garner              R     R       215     74    
Perci Garner             R     R       225     75    
Scott Garrelts           R     R       195     76    
Amir Garrett             R     L       239     77    
Braxton Garrett          R     L       202     74    
Reed Garrett             R     R       195     74    
Stone Garrett            R     R       224     74    
Steve Garrison           B     L       195     73    
Mitch Garver             R     R       220     73    
Jerry Garvin             L     L       195     75    
Matt Garza               R     R       220     76    
Ralph Garza              R     R       220     74    
Charlie Gassaway         L     L       210     74    
Dave Gassner             R     L       190     74    
John Gast                L     L       190     74    
Cito Gaston              R     R       190     75    
Hank Gastright           R     R       190     74    
Evan Gattis              R     R       270     76    
John Gaub                R     L       210     74    
Kevin Gausman            L     R       205     74    
Sam Gaviglio             R     R       215     73    
Cory Gearrin             R     R       205     73    
Bob Gebhard              R     R       210     74    
Jim Geddes               R     R       200     74    
Elmer Gedeon             R     R       196     76    
Dillon Gee               R     R       205     73    
Johnny Gee               L     L       225     81    
Josh Geer                R     R       195     75    
Dave Geisel              L     L       210     75    
Vern Geishert            R     R       215     73    
Jim Gentile              L     L       210     75    
Craig Gentry             R     R       190     74    
Charles George           R     R       200     74    
Chris George             R     R       200     74    
Chris George             L     L       200     74    
Dave Gerard              R     R       205     74    
Joey Gerber              R     R       212     76    
Bob Geren                R     R       205     75    
Al Gerheauser            L     L       190     75    
Frank German             R     R       195     74    
Franklyn German          R     R       260     79    
Justin Germano           R     R       210     74    
Gonzalez Germen          R     R       200     73    
Dick Gernert             R     R       209     75    
Al Gettel                R     R       200     75    
Jason Giambi             L     R       240     75    
Ian Gibaut               R     R       250     75    
Joe Gibbon               R     L       200     76    
Bob Gibson               R     R       189     73    
Derrick Gibson           R     R       244     74    
Josh Gibson              R     R       220     73    
Kirk Gibson              L     L       215     75    
Kyle Gibson              R     R       200     78    
Russ Gibson              R     R       195     73    
Sam Gibson               L     R       198     74    
Brett Gideon             R     R       200     74    
Jim Gideon               R     R       190     75    
Dan Giese                R     R       200     75    
Bob Giggie               R     R       200     73    
Benji Gil                R     R       210     74    
Geronimo Gil             R     R       240     75    
Jerry Gil                R     R       215     75    
Buddy Gilbert            L     R       195     75    
Logan Gilbert            R     R       215     78    
Tyler Gilbert            L     L       223     75    
Don Gile                 R     R       220     78    
Ken Giles                R     R       197     75    
Jason Gilfillan          R     R       220     77    
Johnny Gill              L     R       190     74    
Conor Gillaspie          L     R       195     73    
Logan Gillaspie          R     R       215     74    
Cole Gillespie           R     R       215     74    
Paul Gillespie           L     R       195     75    
Sean Gilmartin           L     L       205     74    
Hal Gilson               R     L       195     77    
Chris Gimenez            R     R       230     74    
Kevin Ginkel             L     R       235     76    
Matt Ginter              R     R       215     73    
Lucas Giolito            R     R       245     78    
Chad Girodo              L     L       190     73    
Chris Gissell            R     R       210     77    
Chris Gittens            R     R       250     76    
Brian Givens             R     L       220     78    
Jim Gladd                R     R       190     74    
Fred Gladding            L     R       220     73    
Tyler Glasnow            L     R       225     80    
Keith Glauber            R     R       190     74    
Troy Glaus               R     R       220     77    
Mike Glavine             L     L       210     75    
Roy Gleason              B     R       220     77    
Jerry Don Gleaton        L     L       205     75    
Jim Gleeson              B     R       191     73    
Brad Glenn               R     R       220     74    
Harry Glenn              L     R       200     73    
George Glinatsis         R     R       195     76    
Ross Gload               L     L       190     73    
Norm Glockson            R     R       200     74    
Gary Glover              R     R       200     77    
Koda Glover              R     R       215     77    
Ryan Glynn               R     R       195     75    
Jimmy Gobble             L     L       190     75    
Graham Godfrey           R     R       215     75    
Zack Godley              R     R       250     75    
Erik Goeddel             R     R       191     75    
Jerry Goff               L     R       205     75    
Bill Gogolewski          L     R       190     76    
Luiz Gohara              L     L       265     75    
Greg Gohr                R     R       205     75    
Brad Goldberg            R     R       220     76    
Roy Golden               R     R       195     73    
Paul Goldschmidt         R     R       220     75    
Fred Goldsmith           R     R       195     73    
Lon Goldstein            L     L       190     74    
Purnal Goldy             R     R       200     77    
Stan Goletz              L     L       200     75    
Dave Goltz               R     R       200     76    
Austin Gomber            L     L       220     77    
Jonny Gomes              R     R       230     73    
Wayne Gomes              R     R       215     74    
Yan Gomes                R     R       212     74    
Carlos Gomez             R     R       220     75    
Hector Gomez             R     R       195     75    
Jeanmar Gomez            R     R       215     75    
Mauro Gomez              R     R       230     74    
Roberto Gomez            R     R       200     78    
Stephen Gonsalves        L     L       215     77    
Tony Gonsolin            R     R       205     75    
Dan Gonzales             L     R       195     73    
Larry Gonzales           R     R       200     75    
Marco Gonzales           L     L       205     73    
Adrian Gonzalez          L     L       215     74    
Alex Gonzalez            R     R       210     73    
Andy Gonzalez            R     R       215     75    
Carlos Gonzalez          L     L       220     73    
Chi Chi Gonzalez         R     R       210     75    
Edgar Gonzalez           R     R       210     74    
Erik Gonzalez            R     R       205     75    
Fredi Gonzalez           R     R       190     73    
Geremi Gonzalez          R     R       200     74    
Jose Gonzalez            R     R       190     74    
Lariel Gonzalez          R     R       228     76    
Marwin Gonzalez          B     R       205     73    
Miguel Gonzalez          R     R       210     75    
Mike Gonzalez            R     R       200     73    
Mike Gonzalez            R     L       200     74    
Oscar Gonzalez           R     R       240     76    
Romy Gonzalez            R     R       215     73    
Dwight Gooden            R     R       190     74    
Niko Goodrum             B     R       215     75    
Danny Goodwin            L     R       195     73    
Greg Goossen             R     R       210     73    
Alex Gordon              L     R       220     73    
Keith Gordon             R     R       200     73    
Mike Gordon              B     R       215     75    
MacKenzie Gore           L     L       192     74    
Reid Gorecki             R     R       200     73    
Bob Gorinski             R     R       215     75    
Nolan Gorman             L     R       210     73    
Tom Gorman               R     L       200     74    
Tom Gorman               R     R       190     73    
Tom Gorman               L     L       194     76    
Nick Gorneault           R     R       220     75    
Tom Gorzelanny           R     L       218     75    
Mike Gosling             L     L       210     74    
Howie Goss               R     R       204     76    
Jim Gott                 R     R       215     76    
Ashton Goudeau           R     R       220     78    
Mauro Gozzo              R     R       210     74    
John Grabow              L     L       205     73    
Jason Grabowski          L     R       200     75    
Mark Grace               L     L       190     74    
Matt Grace               L     L       215     76    
Mike Grace               R     R       210     76    
Frank Gracesqui          B     L       245     77    
Bill Graham              R     R       217     75    
Dan Graham               L     R       205     73    
Jack Graham              L     L       200     74    
Joe Grahe                R     R       196     73    
Alex Graman              L     L       210     76    
Yasmani Grandal          B     R       225     74    
Curtis Granderson        L     R       200     73    
Jeff Granger             R     L       200     76    
Mark Grant               R     R       195     74    
Tom Grant                L     R       190     74    
Rick Grapenthin          R     R       205     74    
Brusdar Graterol         R     R       265     73    
Juan Graterol            R     R       225     73    
Kendall Graveman         R     R       200     74    
Dave Gray                R     R       190     73    
Jeff Gray                R     R       210     74    
Johnny Gray              R     R       226     76    
Jon Gray                 R     R       225     76    
Josiah Gray              R     R       210     73    
Eli Grba                 R     R       205     74    
Chad Green               L     R       215     75    
Chris Green              L     L       214     74    
Dallas Green             L     R       210     77    
Fred Green               R     L       190     76    
Gene Green               R     R       200     74    
Jason Green              R     R       205     73    
Sean Green               R     R       230     78    
Shawn Green              L     L       190     76    
Steve Green              R     R       200     74    
Zach Green               R     R       224     74    
Hank Greenberg           R     R       210     75    
Conner Greene            R     R       195     76    
Hunter Greene            R     R       242     77    
Rick Greene              R     R       200     77    
Riley Greene             L     L       200     75    
Shane Greene             R     R       200     76    
Tommy Greene             R     R       225     77    
Tyler Greene             R     R       200     74    
Jim Greengrass           R     R       200     73    
Bob Greenwood            R     R       200     77    
Brian Greer              R     R       210     75    
Kenny Greer              R     R       210     75    
Luke Gregerson           L     R       205     75    
Hal Gregg                R     R       195     75    
Kevin Gregg              R     R       245     78    
Tommy Gregg              L     L       190     73    
Tom Gregorio             R     R       200     74    
Didi Gregorius           L     R       205     75    
Bill Greif               R     R       196     76    
Grayson Greiner          R     R       238     78    
Zack Greinke             R     R       200     74    
Seth Greisinger          R     R       200     75    
Ed Gremminger            R     R       200     73    
Randal Grichuk           R     R       216     74    
Ben Grieve               L     R       200     76    
Tom Grieve               R     R       190     74    
Ken Griffey              L     L       195     75    
A. J. Griffin            R     R       230     77    
Foster Griffin           R     L       225     75    
John-Ford Griffin        L     L       215     74    
Marty Griffin            R     R       200     74    
Mike Griffin             R     R       195     76    
Tom Griffin              R     R       210     75    
Jeremy Griffiths         R     R       240     78    
Jason Grilli             R     R       235     77    
Justin Grimm             R     R       210     75    
Ross Grimsley            L     L       195     75    
Dan Griner               L     R       200     73    
Lee Grissom              B     L       200     75    
Marv Grissom             R     R       190     75    
Vaughn Grissom           R     R       210     74    
Johnny Grodzicki         R     R       200     73    
Buddy Groom              L     L       200     74    
Jordan Groshans          R     R       200     75    
Gabe Gross               L     R       200     75    
Kevin Gross              R     R       203     77    
Kip Gross                R     R       195     74    
Wayne Gross              L     R       210     74    
Matt Grott               L     L       210     73    
